body,title,url
No hay muchos terminales capaces sobre el papel de plantar cara a otros modelos situados en una escala o gama superior. Casi los únicos con derecho a colgarse esa medalla sin problemas están un buen puñado de terminales de POCO. ,,https://www.xataka.com/analisis/poco-f3-analisis-caracteristicas-precio-especificaciones
"Hoy se pone a la venta de forma oficial en España el ambicioso Echo Show 10 (2020) (249 euros), el Echo con la pantalla más grande, más completo en conectividad y que mejor suena de los modelos con panel.","
         Qué altavoz ""inteligente"" Amazon Echo comprar: todos los modelos y sus usos recomendados   ",https://www.xataka.com/seleccion/que-altavoz-inteligente-amazon-echo-comprar-todos-modelos-sus-usos-recomendados
"Los televisores de ayer de TCL no iban a venir solos y hoy llegan novedades de la marca en telefonía móvil. Se trata de los nuevos TCL 20L, TCL 20L+ y TCL 20 Pro 5G, que llenan para renovar la propuesta de gama media del fabricante.","
         TCL 20L, 20L+ y 20 Pro 5G: el precio, el 5G y la estabilización óptica como armas para competir en la gama media   ",https://www.xataka.com/moviles/tcl-20l-tcl-20l-tcl-20-pro-5g-caracteristicas-precio-ficha-tecnica
"Los móviles con pantalla flexible y plegable siguen tratando de buscar su sitio (y su sentido), y ahora es TCL la que quiere apostar por este segmento con un modelo conceptual realmente peculiar, el TCL Fold 'n Roll.","
         El TCL Fold ’n Roll es un intrigante móvil con pantalla enrollable que se transforma en una tableta de 10 pulgadas   ",https://www.xataka.com/moviles/tcl-fold-n-roll-caracteristicas-precio-ficha-tecnica
"La compañía aeroespacial Blue Origin de Jeff Bezos ha llevado a cabo un nuevo lanzamiento suborbital con éxito para su cohete New Shepard. El vuelo número 15 y con el que han puesto a prueba además del cohete reusable a la cápsula para astronautas. Si bien no había astronautas a bordo, indican que los habrá dentro de poco.","
         Blue Origin completa otro vuelo de prueba con éxito para el cohete New Shepard: los vuelos tripulados están más cerca que nunca   ",https://www.xataka.com/espacio/blue-origin-completa-otro-vuelo-prueba-exito-para-cohete-new-shepard-vuelos-tripulados-estan-cerca-que-nunca
A finales de septiembre de 2019 desde Amazon nos presentaron sus auriculares inalámbricos Amazon Echo Buds. Desde entonces la tecnología en auriculares inalámbricos ha evolucionado y con ello también los modelos disponibles. Ahora Amazon ha querido poner al día sus Amazon Echo Buds con una segunda generación que incorpora nuevas y mejores características.,"
         Amazon Echo Buds 2, la nueva generación trae nuevo diseño, carga inalámbrica y mejoras de sonido   ",https://www.xataka.com/accesorios/amazon-echo-buds-2-caracteristicas-precio-ficha-tecnica
"La solución de pago por móvil de la banca española, Bizum, tiene cerca de cinco años de historia. Nació en 2016 en el momento apropiado y de la manera adecuada. Podría ser el caso de éxito de una startup que llegó para solucionar un problema y obtuvo la recompensa del público, pero la idea parte de un sector tradicional y de empresas incluso centenarias.",,https://www.genbeta.com/a-fondo/proximo-bizum-seran-pagos-qr-comercios-fisicos-compania-plantea-su-llegada-para-dos-ultimos-trimestres?utm_source=xataka&utm_medium=network&utm_campaign=repost
"La cancelación activa de ruido se ha convertido en excusa perfecta para renovar auriculares, pero algunos fabricantes quieren ir a más. Es el caso de Urbanista y sus nuevos auriculares 'Los Angeles', que aportan una sorpresa muy especial: la carga solar.","
         Lo sorprendente de los auriculares de Urbanista no es su cancelación activa de ruido, sino que tienen carga solar    ",https://www.xataka.com/audio/sorprendente-auriculares-urbanista-no-su-cancelacion-activa-ruido-sino-que-tienen-carga-solar
"Hoy te traemos una pequeña lista de 17 aplicaciones para exprimir al máximo Google Calendar cuando lo estés utilizando en tu teléfono móvil. La aplicación de calendario de Google puede ser básica si quieres, pero también te permite muchas interacciones con aplicaciones de la propia Google, y puede ser utilizada también por aplicaciones de terceros.","
         17 apps para sacarle el máximo partido a Google Calendar en el móvil   ",https://www.xataka.com/basics/apps-para-sacarle-maximo-partido-a-google-calendar-movil-1
"Todos los iPhone desde el iPhone X han tenido el mismo notch. Aunque la compañía ha variado ligeramente el diseño de sus terminales, como podemos ver en los laterales de los iPhone 12, el notch siempre ha estado presente. El motivo es claro: alojar todos los componentes que dan vida a Face ID, su sistema de reconocimiento facial. Sin embargo, parece que esta conocida muesca tiene los días contados.","
         Kuo adelanta que los iPhone de 2023 tendrán Face ID bajo la pantalla y anticipa el fin del notch para 2022    ",https://www.xataka.com/moviles/kuo-adelanta-que-iphone-2023-tendran-face-id-pantalla-anticipa-fin-notch-para-2022
"Las Oculus Quest 2 son un excelente visor de realidad virtual. En Xataka tuvimos ocasión de probar estas gafas a fondo y la experiencia con ellas fue sobresaliente, pero les faltaba una cosa: poder jugar a los juegos de PC sin necesidad de cables de forma oficial. Porque sí, es posible conectar las gafas al PC para jugar a 'Half Life: Alyx', pero para ello es recomendable usar el cable Oculus Link, que vale 99 euros, o un cable similar.","
         Oculus Quest 2: jugar a los juegos de PC sin cables será posible (de forma oficial) gracias a Oculus Air Link    ",https://www.xataka.com/realidad-virtual-aumentada/oculus-quest-2-jugar-a-juegos-pc-cables-sera-posible-forma-oficial-gracias-a-oculus-air-link
"TCL ha presentado sus nuevos auriculares completamente inalámbricos, los TCL Moveaudio S600. Lo ha hecho junto a su nueva hornada de smartphones, entre los que se encuentra el concepto de TCL enrollable y los nuevos TCL 20L, 20L Plus y 20 Pro 5G. ","
         TCL Moveaudio S600: así son los nuevos auriculares TWS con cancelación de ruido activa híbrida y hasta 32 horas de batería   ",https://www.xataka.com/audio/tcl-moveaudio-s600-caracteristicas-precio-ficha-tecnica
Taiwán vive una de las peores sequías que se recuerdan en el país en los últimos 50 años. Una situación que está añadiendo una presión extra al suministro de componentes y que lleva a los fabricantes a avisar de que va a seguir habiendo escasez de componentes.,"
         Taiwán prioriza la producción de chips sobre el regadío de tierras agrícolas ante la sequía   ",https://www.xataka.com/pro/semiconductores-alimentos-taiwan-prioriza-produccion-chips-regadio-tierras-agricolas-sequia
"La Unión Europea, finalmente, ha tomado una decisión tajante y no renovará los contratos para la compra de vacunas de la farmacéutica anglo-sueca Astrazeneca y la estadounidense Janssen (Johnson & Johnson), después de los supuestos efectos secundarios que han causado.","
         La Unión Europea no renovará contratos con AstraZeneca y Janssen al mismo tiempo que tendrá un adelanto de dosis de Pfizer   ",https://www.xataka.com/medicina-y-salud/union-europea-no-renovara-contratos-astrazeneca-janssen-al-tiempo-que-tendra-adelanto-dosis-pfizer
"No muchos conocían Coinbase hace un año. Hoy es una de las grandes protagonistas del panorama económico mundial, y lo es gracias a una histórica salida a bolsa con una valoración que se ha disparado finalmente a los casi 100.000 millones de dólares.","
         Coinbase sale a bolsa haciendo historia: logra una valoración de 100.000 millones de dólares gracias a la nueva era dorada del bitcoin    ",https://www.xataka.com/criptomonedas/coinbase-sale-a-bolsa-haciendo-historia-logra-valoracion-100-000-millones-dolares-gracias-a-nueva-era-dorada-bitcoin
Bizum no para de crecer. La solución coral de la banca española para promover los pagos móviles entre personas quiere ahora conquistar también el pago en comercios físicos. ¿Cómo lo hará? Fácil: con códigos QR.,"
         Bizum prepara los pagos con códigos QR: el sistema que triunfa en China quiere conquistar España (y el mundo)    ",https://www.xataka.com/moviles/bizum-prepara-pagos-codigos-qr-sistema-que-triunfa-china-quiere-conquistar-espana-mundo
"La compra de exclusividades de Epic Games a lo largo de los años, con el fin de abrirse paso a codazos en un panorama dominado de forma implacable por Steam es lo que ha ocasionado tremendas pérdidas a la plataforma. Según PCGamer, el dinero invertido por Epic sólo en las exclusivas firmadas durante 2020 llega hasta los 444 millones de dólares y se estima que la inversión llegará a los 600 millones de aquí al fin de 2021.","
         Epic Games consigue 1000 millones de dólares para seguir financiando el Metaverso, su paraíso virtual (y 200 son de Sony)    ",https://www.xataka.com/videojuegos/epic-games-consigue-1000-millones-dolares-para-seguir-financiando-metaverso-su-paraiso-virtual-200-sony
"En enero fueron las suspensiones de primeras dosis y desabastecimiento para inocular las segundas por problemas de producción de Pfizer y retrasos de Moderna en la entrega de viales. En marzo, los casos de trombos en vacunados con AstraZeneca que erosionaron duramente la confianza en esta vacuna y obligaron a reconsiderar los grupos de edad a los que iba dirigida. Y en abril, nuevos casos de trombos en mujeres jóvenes y de mediana edad vacunadas con Janssen en Estados Unidos, algo que desembocó en Johnson & Johnson paralizando la administración de dosis de su propia vacuna.","
         La suspensión de la vacuna Janssen complica el objetivo de la inmunidad de grupo en España para agosto, pero incluso sin ella sería factible   ",https://www.xataka.com/medicina-y-salud/suspension-vacuna-janssen-complica-objetivo-inmunidad-grupo-espana-para-agosto-incluso-ella-seria-factible
"El fin del mundo se ha convertido en un tópico de la ciencia-ficción de tal envergadura que -como los viajes en el tiempo y las invasiones extraterrestres- ya ha sido reciclado con todos los tonos posibles. De la tragedia reflexiva ('La carretera') a la aventura de acción bombástica ('Mad Max: Fury Road'), pasando por el drama con mensaje ('Hijos de los hombres') o, cómo no, la comedia con variadas dosis de romanticismo.","
         'De amor y monstruos': llega a Netflix una simpática comedia que demuestra que con romanticismo, el apocalipsis es más llevadero    ",https://www.xataka.com/cine-y-tv/amor-monstruos-llega-a-netflix-simpatica-comedia-que-demuestra-que-romanticismo-apocalipsis-llevadero
"La estatua de Cristo Rey en Świebodzin, Polonia, mide 33 metros de altura y está considerada como la imagen de Cristo más alta del mundo. Se terminó de construir en 2010, pero en 2018 un diario polaco descubrió algo sorprendente: en la corona había instaladas antenas de conexión a internet.","
         El arte del camuflaje de antenas: ocultarlas en una estatua gigante de  Jesús, en árboles y en cactus es ya algo normal    ",https://www.xataka.com/moviles/arte-camuflaje-antenas-ocultarlas-estatua-gigante-jesus-arboles-cactus-algo-normal
"El Canal de Suez se desbloqueó, pero el Ever Given no ha tenido tanta suerte. Cuando todo parecía terminado para el gigantesco buque, ahora son otros los motivos por los que el Ever Given ha vuelto a quedar parado. ","
         El Ever Given está otra vez atascado: esta vez no por la arena, sino por los más de 900 millones de euros que le reclaman   ",https://www.xataka.com/empresas-y-economia/ever-given-esta-otra-vez-atascado-esta-vez-no-arena-sino-900-millones-euros-que-le-reclaman
